All,الكل
These cache type(s) don't exist: %1,These cache type(s) don't exist: %1
The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.
An authentication error occurred. Verify and try again.,An authentication error occurred. Verify and try again.
The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.,The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.
The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.,The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.
Save &amp; Continue,Save &amp; Continue
Save &amp; Close,Save &amp; Close
Save &amp; New,Save &amp; New
Enable Hints for Storefront with URL Parameter,Enable Hints for Storefront with URL Parameter
Parameter Value,Parameter Value
Enable Template Path Hints for Storefront,Enable Template Path Hints for Storefront
Enable Template Path Hints for Admin,Enable Template Path Hints for Admin
System Backup,نظام النسخ الاحتياطي
Database and Media Backup,النسخ الاحتياطي لقاعدة البيانات و الوسائط
Database Backup,النسخ الاحتياطي لقاعدة البيانات
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","يمكن أن يكون الأرشيف غير مضغوط مع <a href=""%1"">%2</a> على أنظمة وندوز."
You need more permissions to activate maintenance mode right now.,تحتاج مزيد من الصلاحيات لتنشيط وضع الصيانة الآن.
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","لإنشاء النسخ الاحتياطي، الرجاء قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك."
Something went wrong while putting your store into maintenance mode.,حدث خطأ في وضع المتجر الخاص بك في وضع الصيانة.
You need more free space to create a backup.,كنت بحاجة إلى مزيد من المساحة الحرة لإنشاء نسخة احتياطية.
You need more permissions to create a backup.,انت بحاجة إلى مزيد من الأذونات لإنشاء نسخة احتياطية.
We can't create the backup right now.,لا يمكننا إنشاء النسخ الاحتياطي الآن.
Backups,الاحتياطات
Backup,نسخة احتياطية
We can't delete one or more backups.,لا يمكننا حذف واحد أو أكثر من النسخ الاحتياطية.
failed,فشل
successful,تم بنجاح
You deleted the selected backup(s).,تم حذف النسخة أو النسخ الاحتياطية المحددة.
Can't load snapshot archive,لا يمكن تحميل لقطة الأرشيف
Please correct the password.,الرجاء تصحيح كلمة المرور.
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","الرجاء إكمال الاستعادة، قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك."
We can't find the backup file.,لا يمكننا العثور على ملف النسخ الاحتياطي.
We can't connect to the FTP right now.,لا يمكننا الاتصال بال FTP الآن.
Failed to validate FTP.,فشل التحقق من صحة FTP.
You need more permissions to perform a rollback.,تحتاج إلى مزيد من الأذونات تنفيذ الاستعادة.
Failed to rollback.,فشلت الاستعادة.
Database,قاعدة البيانات
Database and Media,قاعدة البيانات و الوسائط
System (excluding Media),النظام (باستثناء الوسائط)
You created the system backup.,تم إنشاء نظام النسخ الاحتياطي.
You created the system backup (excluding media).,لقد قمت بإنشاء نظام النسخ الاحتياطي (باستثناء الوسائط).
You created the database and media backup.,لقد قمت بإنشاء نسخة احتياطية لقاعدة البيانات والوسائط.
You created the database backup.,قمت بإنشاء قاعدة البيانات الاحتياطية.
Please correct the order of creation for a new backup.,الرجاء تصحيح الطلب لإنشاء نسخة احتياطية جديدة.
The backup file does not exist.,ملف النسخة الاحتياطية غير موجود.
The backup file path was not specified.,لم يتم تحديد مسار ملف النسخ الاحتياطي.
"The backup file ""%1"" does not exist.","ملف النسخ الاحتياطي ""%1""غير موجود."
"Sorry, but we cannot read from or write to backup file ""%1"".","عذراً، لا يمكننا القراءة أو الكتابة من و إلى ملف النسخ الاحتياطي ""%1""."
The backup file handler was unspecified.,لم يتم تحديد مسار ملف النسخ الاحتياطي.
"Something went wrong while writing to the backup file ""%1"".","حدث خطأ أثناء الكتابة إلى ملف النسخ الاحتياطي ""%1""."
We can't save the Cron expression.,لم نتمكن من حفظ تعبير Cron.
"You will lose any data created since the backup was made, including admin users, customers and orders.",سوف تفقد أية بيانات تم إنشاؤها منذ عملية النسخ الاحتياطي، بما في ذلك المشرفين والعملاء والطلبات.
Are you sure you want to continue?,هل انت متأكد انك تريد الاستمرار؟
This may take a few moments.,قد يستغرق هذا بضع لحظات.
Be sure your store is in maintenance mode during backup.,الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء النسخ الاحتياطي.
Backup Name,اسم النسخة الاحتياطية
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.",الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو مسافات فقط في هذا الحقل.
Maintenance mode,وضع الصيانة
Please put your store into maintenance mode during backup.,الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء النسخ الاحتياطي.
Exclude,استبعاد
Exclude media folder from backup,استبعاد المجلد وسائط من النسخ الاحتياطي
Please enter the password to confirm rollback.,الرجاء إدخال كلمة المرور لتأكيد العودة إلى الحالة السابقة.
This action cannot be undone.,لا يمكن التراجع عن هذا الإجراء.
User Password,كلمة المرور
Please put your store into maintenance mode during rollback processing.,الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء معالجة الاستعادة.
FTP,بروتوكول نقل الملفات
Use FTP Connection,استخدام اتصال FTP
FTP credentials,أوراق اعتماد بروتوكول نقل الملفات
FTP Host,مضيف FTP
FTP Login,تسجيل دخول FTP
FTP Password,كلمة مرور بروتوكول نقل الملفات
Magento root directory,الدليل الجذر لماجنتو
Create Backup,انشئ نسخة احتياطية
Rollback,العودة إلى الحالة السابقة
Scheduled Backup Settings,إعدادات النسخ الاحتياطي المجدولة
Enable Scheduled Backup,تمكين النسخ الاحتياطي المجدول
Backup Type,نوع النسخ الاحتياطي
Frequency,التردد
Are you sure you want to delete the selected backup(s)?,هل أنت متأكد من أنك تريد حذف النسخة أو النسخ الاحتياطية المحددة؟
Size(bytes),الحجم(بايت)
Type,النوع
Download,تحميل
Backup functionality is disabled,Backup functionality is disabled
Backup Settings,Backup Settings
Enable Backup,Enable Backup
Scheduled Backup Type,Scheduled Backup Type
Disabled by default for security reasons,Disabled by default for security reasons
Banners,اللافتات
Add Banner,إضافة جزء إعلاني
Save Banner,حفظ الإعلان
Delete Banner,حذف اللافتة
Save and Continue Edit,حفظ ومواصلة التعديل
New Banner,إضافة لافتة إعلانية
Default Content,المحتوى الافتراضي
No Default Content,لا يوجد محتوى افتراضي
Banner Default Content for All Store Views,شعار المحتوى الافتراضي لجميع واجهات المتاجر
Store View Specific Content,محتوى محدد لواجة متجر
Use Default,استخدام افتراضي
Related Promotions,عروض ذات صلة
Rule,قاعدة
Start Date,تاريخ البدء
End Date,تاريخ الانتهاء
Banner Properties,خصائص الشعار
Banner Name,اسم الجزء الإعلاني
Active,فعال
Inactive,خاملة
Applies To,ينطبق على
Any Banner Type,أي نوع للالفتات
Specified Banner Types,أنواع لافتة محدد
Specify Types,تحديد أنواع
Banner Information,معلومات اللافاتة
Banner,شعار
Banner Type,أنواع الشعارات
Visibility,الظهور
Are you sure you want to delete these banners?,هل أنت متأكد من أنك تريد حذف هذه اللافتات؟
Related Banners,لافتات ذات صلة
Position,موقع
This rule no longer exists.,هذة القاعدة لم تعد موجودة.
This banner does not exist.,هذا الشعار غير موجود.
You deleted the banner.,قمت بحذف الشعار.
Something went wrong while deleting banner data. Please review the action log and try again.,حدث خطأ أثناء حذف بيانات الشعار. الرجاء مراجعة سجل الإجراء والمحاولة مرة أخرى.
We cannot find a banner to delete.,لا يمكن أن نجد لافتة حذفها.
This banner no longer exists.,هذا الشعار لم يعد موجوداً.
Edit Banner,تعديل الجزء الإعلاني
Please select a banner(s).,الرجاء تحديد اللافته (اللافتات).
You deleted %1 record(s).,لقد حذفت %1 من السجلات.
Something went wrong while mass-deleting banners. Please review the action log and try again.,حدث خطأ أثناء الحذف الكلي للافتات. الرجاء مراجعة سجل الإجراء و المحاولة مرة أخرى.
You saved the banner.,تم حفظ اللافتة.
We cannot save the banner.,لا يمكن حفظ اللافتة.
Please enter a name.,الرجاء إدخال الأسم.
Please specify default content for at least one store view.,الرجاء تحديد المحتوى الافتراضي لواجهة متجر واحدة على الأقل.
-- None --,-- لا شيء --
Related Cart Price Rules,قواعد سعر السلة ذات الصلة
Related Catalog Price Rules,قواعد سعر الكتالوج ذات الصلة
Content Area,منطقة المحتوى
Footer,ذيل الصفحة
Header,الترويسة
Left Column,العمود الأيسر
Right Column,العمود الأيمن
Manage Banners,إدارة اللافتات
Banner Rotator,نظام الاعلانات بموقعك
Displays Specified or Promotion Banners,يعرض لافتات محددة أو ترويجة
Banners to Display,لافتات للعرض
Specified Banners,لافتات محددة
Shopping Cart Promotions Related,عروض متعلقة بسلة الشراء
Catalog Promotions Related,عروض متعلة بالكتالوج
Restrict by Banner Types,مقيد بأنواع اللفتات
Rotation Mode,وضع الاستدارة
Display all instead of rotating,عرض كل شيء بدلاً من التدوير
"One at the time, Random",واحدة في كل مرة، عشوائي
"One at the time, Series",واحدة في مرة، متسلسل
"One at the time, Shuffle",واحدة في مرة، مخلوطة
Specify Banners,حدد لافتة
Banner Block Template,قالب كتلة اللافتة
Banner Inline Template,قالب الشعار المضمن
Dynamic Blocks,Dynamic Blocks
Add Dynamic Block,Add Dynamic Block
Save Dynamic Block,Save Dynamic Block
Delete Dynamic Block,Delete Dynamic Block
New Dynamic Block,New Dynamic Block
Dynamic Block Default Content for All Store Views,Dynamic Block Default Content for All Store Views
Dynamic Block Properties,Dynamic Block Properties
Dynamic Block Name,Dynamic Block Name
Any Dynamic Block Type,Any Dynamic Block Type
Specified Dynamic Block Types,Specified Dynamic Block Types
Dynamic Block Information,Dynamic Block Information
Dynamic Block,Dynamic Block
Dynamic Block Type,Dynamic Block Type
Are you sure you want to delete these dynamic blocks?,Are you sure you want to delete these dynamic blocks?
Related Dynamic Blocks,Related Dynamic Blocks
You deleted the dynamic block.,You deleted the dynamic block.
Something went wrong while deleting dynamic block data. Please review the action log and try again.,Something went wrong while deleting dynamic block data. Please review the action log and try again.
We cannot find a dynamic block to delete.,We cannot find a dynamic block to delete.
This dynamic block no longer exists.,This dynamic block no longer exists.
Edit Dynamic Block,Edit Dynamic Block
Please select a dynamic block(s).,Please select a dynamic block(s).
Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.,Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.
This dynamic block does not exist.,This dynamic block does not exist.
You saved the dynamic block.,You saved the dynamic block.
We cannot save the dynamic block.,We cannot save the dynamic block.
Manage Dynamic Blocks,Manage Dynamic Blocks
Dynamic Blocks Rotator,Dynamic Blocks Rotator
Displays Specified or Promotion Dynamic Blocks,Displays Specified or Promotion Dynamic Blocks
Dynamic Blocks to Display,Dynamic Blocks to Display
Specified Dynamic Blocks,Specified Dynamic Blocks
Restrict by Dynamic Block Types,Restrict by Dynamic Block Types
Specify Dynamic Blocks,Specify Dynamic Blocks
Dynamic Block Template,Dynamic Block Template
Dynamic Block Inline Template,Dynamic Block Inline Template
Status Label,Status Label
General Information,المعلومات العامة
Enable Dynamic Block,Enable Dynamic Block
Use Default Value,استخدام قيمة افتراضية
Cart price rules allows you to setup promotions for items that are in the shopping cart.,Cart price rules allows you to setup promotions for items that are in the shopping cart.
Add Cart Price Rules,Add Cart Price Rules
Related Catalog Price Rule,Related Catalog Price Rule
Catalog price rules allows you to setup promotions for an items in catalog.,Catalog price rules allows you to setup promotions for an items in catalog.
Add Selected,إضافة المحدد
Make sure that dynamic blocks rotator does not reference the dynamic block itself.,Make sure that dynamic blocks rotator does not reference the dynamic block itself.
Cart Price Rule Related,Cart Price Rule Related
Catalog Price Rule Related,Catalog Price Rule Related
All Segments,كل الفئات
Customer Segment,شريحة العملاء
Allowed Credit Card Types,أنواع بطاقات الائتمان المسموحة
Add Rule,إضافة قاعدة
Braintree Settlement Report,تقرير تسوية Braintree
"Sorry, but something went wrong",عفواً، حدث خطأ
We can't initialize checkout.,لايمكننا تهيئة عملية الدفع.
No authorization transaction to proceed capture.,لا إذن لمتابعة معاملة الالتقاط.
Transaction is successful.,Transaction is successful.
Braintree error response.,رد خطأ Braintree.
Payment method nonce can't be retrieved.,لا يمكن استرداد طريقة الدفع التجريبية.
Wrong transaction status,حالة المعاملة غير صحيحة
Authorize,تصريح
Credit Card,بطاقة الإئتمان
ending,إنهاء
expires,انتهاء صلاحية
PayPal,باي بال
Please agree to all the terms and conditions before placing the order.,الرجاء الموافقة على كل الشروط والأحكام قبل انهاء طلبك.
Transaction was failed.,Transaction was failed.
"Please, enter valid Credit Card Number","الرجاء إدخال ""رقم بطاقة ائتمان"" صالحة"
"Please, enter valid Expiration Date","الرجاء إدخال ""تاريخ انتهاء صلاحية"" صالح"
"Please, enter valid Card Verification Number","الرجاء إدخال ""رقم تحقق بطاقة"" صالح"
Are you sure you want to delete this PayPal account,هل أنت متأكد من أنك تريد حذف حساب بأي بال هذا
PayPal Account,حساب باي بال
PayPal Logo,شعار باي بال
Credit Card Information,معلومات بطاقة الائتمان
Save for later use.,حفظ لاستخدامها في وقت لاحق.
This payment is not available,لا يتوفر هذا الدفع
MM,MM
YY,YY
Please try again with another form of payment.,الرجاء المحاولة مرة أخرى بشكل آخر من أشكال الدفع.
"Sorry, but something went wrong.",عفواً، حدث خطأ.
Payment,الدفع
Credit card type is not accepted by this merchant account.,لم يتم قبول نوع بطاقة الائتمان بحساب هذا التاجر.
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
Credit transactions cannot be refunded.,المعاملات الإئتمانية لايمكن إستردادها.
Cannot refund a transaction unless it is settled.,لا يمكن استرداد المعاملة التجارية إلا أن تتم تسويتها.
Cannot submit for settlement unless status is authorized.,لا يمكن الأرسال للتسوية إلا إذا كانت الحالة مرخصة.
Customer does not have any credit cards.,ليس لدى العميل أي بطاقات ائتمان.
Transaction has already been completely refunded.,تم بالفعل رد المبلغ بالكامل.
Payment instrument type is not accepted by this merchant account.,نوع وسيلة الدفع غير مقبول بواسطة التاجر هذا.
Processor authorization code cannot be set unless for a voice authorization.,رمز ترخيص المعالج لايمكن ان يعين إلا إذا تم تعيين ترخيص صوتي.
Refund amount is too large.,المبلغ الإسترداد كبير للغاية.
Settlement amount is too large.,مبلغ التسوية كبير جدًا.
Cannot provide a billing address unless also providing a credit card.,لا يمكن توفير عنوان الفوترة إلا بتقديم بطاقة ائتمان.
Cannot refund a transaction with a suspended merchant account.,لايمكن استرداد المبالغ من الحسابات المعلقة.
Merchant account does not support refunds.,حساب التاجر هذا لا يدعم إسترداد المبالغ.
Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.,"لا يمكن رد المبالغ, الصفقه في حالة تسوية في حساب التاجر هذا. حاول مرة أخرى بعد تسوية الصفقة."
PayPal is not enabled for your merchant account.,لم يتم تمكين بأي بال لحساب التاجر الخاص بك.
Partial settlements are not supported by this processor.,لا يتم اعتماد التسويات الجزئية من هذا المعالج.
Cannot submit for partial settlement.,لا يمكن تقديم تسوية جزئية.
Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.,Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.
Too many concurrent attempts to refund this transaction. Try again later.,"هناك العديد من المحاولات لإبطال هذه العملية, حاول في وقت لاحق."
Too many concurrent attempts to void this transaction. Try again later.,"هناك العديد من المحاولات لإبطال هذه العملية, حاول في وقت لاحق."
Braintree,Braintree
Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.,قبول بطاقات الائتمان و بايبال في المتجر. <br/> بدون رسوم إعداد أو رسوم شهرية، ولن يخرج عملائك من الموقع لإتمام الدفع.
Enable this Solution,تمكين هذا الحل
Enable PayPal through Braintree,تمكين باي بال عن طريق Braintree
Vault Enabled,تم تمكين الخزنة
Basic Braintree Settings,الإعدادات الأساسية Braintree
Merchant ID,رمز تعريف التاجر
Public Key,المفتاح العمومي
Private Key,المفتاح الخاص
Advanced Braintree Settings,إعدادات متقدمة Braintree
Vault Title,اسم الخزنة
Merchant Account ID,معرف حساب التاجر
Advanced Fraud Protection,الحماية المتقدمة من الاحتيال
Kount Merchant ID,معرف تاجر Kount
CVV Verification,التحقق CVV
Country Specific Settings,إعدادات محددة للبلد
Country Specific Credit Card Types,أنواع بطاقات الائتمان المحددة للبلد
PayPal through Braintree,باي بال عن طريق Braintree
Override Merchant Name,تجاوز اسم التاجر
Require Customer's Billing Address,تتطلب معالجة عناوين الفواتير للعميل
Allow to Edit Shipping Address Entered During Checkout on PayPal Side,السماح بتعديل عنوان الشحن خلال مرحلة الدفع بـ باي بال
Display on Shopping Cart,العرض في سلة التسوق
Skip Order Review,تخطي مراجعة الطلب
3D Secure Verification Settings,إعدادات التحقق آمنة 3D
3D Secure Verification,التحقق الآمن باستخدام 3D
Threshold Amount,مبلغ الحد الأعلى
Verify for Applicable Countries,تحقق من البلدان المطابقة
Verify for Specific Countries,تحقق من بلدان محددة
Dynamic Descriptors,معرفات ديناميكية
Phone,رقم الهاتف
URL,الرابط
CVV is required.,CVV مطلوب.
CVV must be 4 digits for American Express and 3 digits for other card types.,"يجب أن تكون الCVV أربعة أرقام ""أمريكان إكسبريس"" و 3 أرقام لأنواع البطاقات الأخرى."
Expiration date is required.,تاريخ انتهاء الصلاحية مطلوب.
Expiration date is invalid.,تاريخ انتهاء الصلاحية غير صالح.
Expiration year is invalid. It must be between 1975 and 2201.,سنة انتهاء الصلاحية غير صالح. يجب أن يكون بين عامي 1975 و 2201.
Expiration month is invalid.,شهر انتهاء الصلاحية غير صالح.
Expiration year is invalid.,سنة انتهاء الصلاحية غير صالح.
Credit card number is required.,مطلوب رقم بطاقة الائتمان.
Credit card number is invalid.,رقم بطاقة الائتمان غير صحيح.
Credit card number must be 12-19 digits.,يجب أن يكون رقم بطاقة الائتمان مابين 12- 19 رقم.
Cardholder name is too long.,اسم حامل البطاقة طويل جداً.
CVV verification failed.,فشل التحقق من صحة CVV.
Postal code verification failed.,فشل التحقق من صحة الرمز البريدي.
Credit card number is prohibited.,رقم بطاقة الائتمان محظور.
Addresses must have at least one field filled in.,يجب أن تحتوي العناوين على حقل واحد على الأقل.
Company is too long.,اسم الشركة طويل جداً.
Extended address is too long.,العنوان الإضافي طويل جداً.
First name is too long.,الاسم الأول طويل جداً.
Last name is too long.,اسم العائلة طويل جداً.
Locality is too long.,الموقع طويل جداً.
Postal code is required.,الرمز البريدي مطلوب.
Postal code may contain no more than 9 letter or number characters.,الرمز البريدي قد يحتوي عن لا يزيد عن 9 أحرف أو أرقام.
Region is too long.,اسم المنطقة طويل جداً.
Street address is required.,عنوان الشارع مطلوب.
Street address is too long.,العنوان طويل جداً.
"Postal code can only contain letters, numbers, spaces, and hyphens.",الرمز البريدي يمكن أن يحتوي على فقط حروف وأرقام، ومسافات، و وصلات.
US state codes must be two characters to meet PayPal Seller Protection requirements.,"يجب أن يكون كود الولايه حرفين للوفاء بمتطلبات ""حماية البائع بأي بال""."
Incomplete PayPal account information.,معلومات حساب بأي بال غير مكتملة.
Invalid PayPal account information.,معلومات حساب PayPal غير صالحة.
PayPal Accounts are not accepted by this merchant account.,حسابات PayPal غير مقبولة من قبل التاجر هذا.
Billing address format is invalid.,تنسيق عنوان الفاتورة غير صالح.
Country name is not an accepted country.,اسم الدولة غير مقبول.
Country code is not accepted. Please contact the store administrator.,رمز البلد غير مقبول. الرجاء الاتصال بمسؤول المتجر.
Provided country information is inconsistent.,معلومات البلد المقدمة غير متناسقة.
Customer has already reached the maximum of 50 addresses.,لقد وصل العميل بالفعل إلى الحد الأقصى من العناوين (50 عنوانًا).
Address is invalid. Please contact the store administrator.,العنوان غير صحيح. الرجاء الاتصال بمسؤول المتجر.
Error communicating with PayPal.,حدث خطأ في التواصل مع PayPal.
PayPal authentication expired.,انتهت صلاحية مصادقة PayPal.
Error executing PayPal order.,حدث خطأ في تنفيذ طلب PayPal.
Error executing PayPal billing agreement.,خطأ في اتفاق فوترة باي بال.
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.",تطبيق عامل تصفية من أجل الحصول على النتائج. سيتم عرض السجلات أول 100 فقط في الشبكة، سوف تكون قادرة على تحميل النسخة الكاملة من التقرير بتنسيق csv.
Select...,اختر...
Transaction Type,نوع المعاملة التجارية
Payment Type,وسيلة الدفع
PayPal Payment ID,معرف الدفع باي بال
Created At,انشئة في
Transaction ID,رقم المعاملة
Order ID,رقم الطلب
Amount,الكمية
Settlement Code,رمز التسوية
Settlement Response Text,نص استجابة التسوية
Refund Ids,معرفات الإسترداد
Settlement Batch ID,معرف التسوية المجمعة
Month,الشهر
Year,السنة
Stored Card,بطاقة مخزنة
Credit card successfully added,تم إضافة بطاقة الائتمان بنجاح
Something went wrong while saving the card.,حدث خطأ أثناء حفظ البطاقة.
Credit card does not exist,لا توجد بطاقة الائتمان
Delete Credit Card,حذف بطاقة الائتمان
There was error deleting the credit card,حدث خطأ أثناء حذف بطاقة الائتمان
Credit card successfully deleted,تم حذف بطاقة الائتمان بنجاح
Edit Credit Card,تحرير بطاقة الائتمان
My Credit Cards,بطاقات الائتمان
New Credit Card,بطاقة ائتمان جديدة
There was error during saving card data,حدث خطأ أثناء حفظ بيانات البطاقة
We can't place the order.,We can't place the order.
Incorrect payment method.,طريقة الدفع غير صحيحة.
We can't initialize checkout review.,ونحن لا يمكن تهيئة استعراض الخروج.
We can't update shipping method.,We can't update shipping method.
"The processor declined your transaction, please re-enter your payment information","المعالج رفض لعملية, الرجاء إعادة إدخال معلومات الشراء"
Transaction declined by gateway: Check card details or try another card,العملية رفضت من المصدر: تحقق من تفاصيل البطاقة او جرب بطاقة اخرى
Transaction declined:,تم رفض العملية:
The processor responded with an unknown error,رد المعالج بخطأ غير معروف
Credit card type is not allowed for your country.,نوع بطاقة الائتمان غير مسموح به في بلدك.
Credit card type is not allowed for this payment method.,غير مسموح بنوع بطاقة الائتمان لطريقة الدفع هذه.
Selected payment type is not allowed for billing country.,غير مسموح بنوع الدفع المحدد للفوترة في البلد.
Incomplete payment information.,معلومات الدفع غير مكتملة.
Please try again later,من فضلك حاول مرة أخرى
Can not find original authorization transaction for partial capture,لا يمكن العثور على عملية الإذن الأصلي لالتقاط جزئي
There was an error capturing the transaction: %1.,حدث خطأ أثناء التقاط العملية: %1.
This refund is for a partial amount but the Transaction has not settled.,هذا المبلغ المسترجع بمبلغ جزئي ولكن العملية لم تتم.
Please wait 24 hours before trying to issue a partial refund.,الرجاء الانتظار 24 ساعة قبل محاولة إصدار مسترجع جزئي.
There was an error refunding the transaction: %1.,حدث خطأ أثناء إسترجاع العملية: %1.
Some transactions are already settled or voided and cannot be voided.,بعض المعاملات بالفعل تسويتها أو باطلة ولا يمكن أن تكون باطلة.
Voided capture.,التقاط خطأ.
There was an error voiding the transaction: %1.,حدث خطأ أثناء إسترجاع العملية: %1.
Invoice,فاتورة
Shipment,شحنه
Invalid Customer ID provided,هوية عميل غير صالحة مقدمة
some error,خطأ ما
"a,b,c",أ، ب، ج
Something went wrong while processing.,حدث خطأ أثناء المعاملة.
exception,إستثناء
Payment Information,معلومات الدفع
Add new card,إضافة بطاقة جديد
Save this card for future use,حفظ هذه البطاقة للاستخدام في المستقبل
or,أو
Please confirm that you want to delete this credit card,الرجاء التأكيد من أنك تريد حذف هذه البطاقة الائتمانية
Cardholder Name,اسم حامل البطاقة
* Required Fields,* حقول مطلوبة
CVV,CVV
Card Verification Number Visual Reference,بطاقه رقم التحقق من الاشارة البصريه
Make Default,جعلها الافتراضية
Billing Address,عنوان الفاتورة
Company,الشركة
Address,العنوان
State/Province,ولاية/محافظة
"Please select region, state or province",من فضلك اختر منطقة، ولاية أو محافظة
Add Credit Card,إضافة بطاقة إئتمان
Card Number,رقم الكارد
Is Default,هي افتراضية
An error occured with payment processing.,An error occured with payment processing.
Can not initialize PayPal (Braintree),Can not initialize PayPal (Braintree)
&nbsp;,&nbsp;
Capture action,امسك الحدث
Use Vault,استخدم الحافظة
Allow Duplicate Cards,اسمع لبطاقات مكررة
Enable Credit Card auto-detection on Storefront,تمكين الكشف التلقائي عن بطاقة الائتمان في الواجهة
Your Kount ID,معرف الحساب الخاص بك
Use Cache,استخدام ذاكرة التخزين المؤقت
Edit My Credit Cards,تعديل بطاقات الائتمان الخاصة بي
Pay with PayPal,Pay with PayPal
Transaction is cancelled offline.,Transaction is cancelled offline.
Braintree Settlement,تسوية Braintree
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section,"تأكد من تمكين الحماية المتقدمة من الاحتيال في ""حساب Braintree الخاص بك"" في الإعدادات/قسم المعالجة"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","تستخدم لإندماج أداة الغش المباشر. تأكد من التواصل بـ <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> لإعداد حساب Kount."
Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.,Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
This feature needs be enabled first for the merchant account through PayPal technical support.,This feature needs be enabled first for the merchant account through PayPal technical support.
Also affects mini-shopping cart.,Also affects mini-shopping cart.
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.,module,Magento_Braintree
The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.,module,Magento_Braintree
Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,,module,Magento_Braintree
please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.,module,Magento_Braintree
The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.,module,Magento_Braintree
Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,,module,Magento_Braintree
please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters,module,Magento_Braintree
and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters,module,Magento_Braintree
and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.,The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.
The Payment Token is not available to perform the request.,The Payment Token is not available to perform the request.
Checkout failed to initialize. Verify and try again.,Checkout failed to initialize. Verify and try again.
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
Coinbase account,حساب Coinbase
Europe bank account,حساب مصرفي في أوروبا
Apple pay card,بطاقة دفع أبل
Android pay card,بطاقة دفع اندرويد
Authorization expired,انتهت مدة صلاحية الترخيص
Authorizing,الإذن
